"Country","CC","CF","GDP","RE","CHE","CHE_GDP","CO2","CO2m","IMD","IMH","IMM","F","Sanitation","Water","U","Tobacco","Tobacco_fem","Tobacco_m","PM","Mortality","Deaths","OAP","OAPc","Population","Population_m","Population_f","pm_category","Region","Mortality_Category"
"AFGHANISTAN","AFG",32.45,500.52298078433,18.51,74.23410411,14.8313194,11238.83,0.297563650500103,72,72,64,4.87,51.0034810931108,73.7846429967308,26.9,23.8,7.5,40.1,52.41704109,59.9,80677,76.818367,57.02542754,37769499,19090409,18679089,"Very High","South Asia","High"
"ALGERIA","DZA",99.7,4021.98360796603,0.16,250.56077576,6.25170851,170582.4,3.99440182789199,91,91,80,2.988,86.1385043463065,94.2391398601614,2.5,21,0.7,41.3,32.83308539,23.5,23456,33.39915466,83.68518506,42705368,21756903,20948465,"High","Middle East and North Africa","Low"
"ARMENIA","ARM",98.1,4828.50488860645,10.34,549.47436523,11.3798008,6195.6,2.1965523671897,92,92,95,1.575,93.8578716530954,99.9281719305937,3.1,25.8,1.5,50,33.65637939,11.8,444,84.79430389,465.9229727,2820602,1274767,1545834,"High","Europe and Central Asia","Low"
"AZERBAIJAN","AZE",98,4805.75371765917,1.62,191.75552368,4.0731144,35521,3.54349533028946,94,94,98,1.81,96.1290294533043,95.667747770716,2.5,24.2,0.1,48.2,25.4950546,20.4,3001,68.31981659,131.00702176,10024283,4948191,5076093,"High","Europe and Central Asia","Low"
"BANGLADESH","BGD",23.5,2122.0783861524,26.37,47.66782379,2.620749,92645,0.559733655592985,98,98,97,2.031,54.9102399606066,97.8251365713411,11,35.2,17.9,52.5,63.4255285,30.4,91820,72.05020905,34.34476444,165516222,82164179,83352043,"Very High","South Asia","High"
"BARBADOS","BRB",100,19002.9623813263,2.79,1171.25622559,6.1940732,1167.27,4.16614319366122,90,90,92,1.623,98.0924623115578,98.5144504186196,3.7,8.5,1.9,15,21.34389367,12.7,39,46.72623062,547.28390409,280180,134222,145957,"Moderate","Latin America and Caribbean","Low"
"BELARUS","BLR",99.6,6837.76723174438,7.81,390.24972534,5.86133814,57681.2,6.12342695003417,98,97,98,1.382,99.3407614255289,98.3919868544727,2.5,30.9,13.6,48.2,16.42351285,3.1,310,25.69003105,100.25527491,9419758,4350290,5069468,"Moderate","Europe and Central Asia","Low"
"BELIZE","BLZ",83.1,6210.56554311929,30.43,303.53390503,6.07060003,736.2,1.89208291034323,98,98,96,2.106,88.1985036524971,98.4005497674635,6.8,8.8,1.9,15.6,21.17639652,12.3,94,23.93080711,72.63811297,389095,195944,193151,"Moderate","Latin America and Caribbean","Low"
"BENIN","BEN",4.8,1170.96553298105,46.47,27.17067146,2.32052207,7475.5,0.60823677321991,76,76,68,5.13,18.6298545928192,66.672267150753,7.7,7.2,2,12.3,46.8584555,88.6,39723,46.20043564,12.55296802,12290444,6152125,6138319,"High","Sub-Saharan Africa","High"
"BOLIVIA","BOL",86.5,3472.38083136442,13.52,239.17544556,6.88792992,21828.8,1.85346150629409,75,75,79,2.688,63.8163098248026,92.5659538959925,11.9,13.2,5.3,21.1,26.83286559,26.6,6968,23.99159813,57.3820112,11777315,5916395,5860919,"High","Latin America and Caribbean","High"
"BOTSWANA","BWA",64.8,6691.16105117407,25.74,408.89599609,6.12193108,7198.3,2.8796632558601,95,95,97,2.883,79.751688865621,92.2214029742791,22.1,19.8,8.9,30.7,24.71873626,37.7,2326,4.49591064,18.38359745,2499702,1233202,1266499,"Moderate","Sub-Saharan Africa","High"
"BRAZIL","BRA",96.3,8845.3239312417,47.58,850.43286133,9.61449146,434318,2.05077012882977,70,72,91,1.703,89.298795927984,98.9355439518362,2.6,13.2,9.7,16.7,11.65399121,14.9,43702,24.87984657,211.58640893,211782878,104119798,107663080,"Moderate","Latin America and Caribbean","Low"
"BRUNEI DARUSSALAM","BRN",100,30748.3201899098,0.01,674.65161133,2.19410944,7057.8,16.111932938856,99,99,97,1.819,95.8309192020188,99.9000453399775,5.8,16.2,2.4,30,7.680643971,11.4,74,5.59261751,37.73068246,438048,226876,211173,"Low","East Asia and Pacific","Low"
